景点名称,攻略数量,点评数量,景点排名,驴友去过,星级,描述,综合评分
陈去病故居Chenqubing Former Residence,1,50,10,1,82,,25.3
万景山庄Wanjing Mountain Villa,5,45,143,0,90,,28.5
古镇水巷游Ancient Town Water Alley Tour,2,66,10,0,86,,26.4
丽则女校,1,3,184,0,100,"丽则女学
丽则女校系退思园第二代主人任薪所创办。当时梁启超等人于1889年在上海首创了中国第一所女子学校“经正女学”，随即近代教育的先驱蔡元培先生也在上海创立“爱国女校”，梁、蔡二人率先向阳花封建传统伦理编织的罗网大胆冲锋，得知这一消…",30.3
灵岩山Lingyan Mountain,10,206,43,0,92,爬山好去处，登山顶俯看苏州城景，在灵岩山寺拜佛祈福。,30.6
彼岸茶馆,1,1,185,0,0,,0.3
中国同里影视摄制基地Zhongguotongliyingshishezhi Base,2,64,29,1,88,,27.4
阳澄湖Yangcheng Lake,34,149,1,0,90,看湖景与乡村风光，体验农家乐，秋季吃阳澄湖大闸蟹。,37.2
品味山塘评弹书苑,1,20,16,0,94,环境很好，古色古香，茶水不错，会附送蜜饯，需要自己续水。评弹价格不一，40-100元不等，点三首送一首，有实时字幕，不懂苏州话也可以去听。,28.5
太湖大桥Taihu Bridge,2,30,34,0,90,,27.6
李公堤Ligong Dam,14,71,186,0,90,,31.2
洞庭东山Dongting Dongshan,2,275,47,0,94,环山路犹如玉带，可沿路欣赏太湖和精美的古建筑，品尝太湖三白。,28.8
震泽古镇Zhenze Ancient Town,5,308,60,0,90,白墙黑瓦的江南水乡建筑沿河排开，游人不多，可享受安静。,28.5
相门Xiangmu Gate,15,104,187,0,90,,31.5
西山Xishan Island,6,309,28,0,90,太湖第一大岛，爬太湖第一高峰，吃太湖三白，冬季到林屋洞赏梅。,28.8
苏州文庙,1,24,93,0,76,其中的宋碑，绘制的苏州地图和天文图，千年前的智慧，至今仍然闪烁光芒。,23.1
松石悟园Songshi Enlightenment Garden,2,70,11,0,80,,24.6
生命奥秘博物馆Mystery of Life Museum,1,74,6,0,90,看震撼的动物、人体标本，了解肌肉、骨骼、内脏结构。,27.3
世德堂(同里明清街店)shi de tang,2,26,12,0,88,,27.0
五人之墓Wuren Tomb,1,14,188,0,90,,27.3
中国昆曲博物馆China Kunqu Opera Museum,3,137,44,0,94,全国唯一一个集昆曲的历史、文化、艺术于一体的专业艺术博物馆。,29.1
