FID,date,neighbors,neighbor_count
1331,1991-08-08,"       FID       date
517   1247 1991-08-08
1150  1206 1991-08-08
1325  1247 1991-08-10
2077  1289 1991-08-08
2681  1206 1991-08-10
6914  1163 1991-08-08
8332  1248 1991-08-08
8507  1289 1991-08-10",8
1163,1991-08-08,"       FID       date
517   1247 1991-08-08
1150  1206 1991-08-08
1325  1247 1991-08-10
2077  1289 1991-08-08
2681  1206 1991-08-10
5809  1331 1991-08-08
8332  1248 1991-08-08
8507  1289 1991-08-10",8
1247,1991-08-10,"       FID       date
1150  1206 1991-08-08
2077  1289 1991-08-08
2681  1206 1991-08-10
5809  1331 1991-08-08
6914  1163 1991-08-08
8332  1248 1991-08-08
8507  1289 1991-08-10",7
1206,1991-08-10,"       FID       date
517   1247 1991-08-08
1325  1247 1991-08-10
2077  1289 1991-08-08
5809  1331 1991-08-08
6914  1163 1991-08-08
8332  1248 1991-08-08
8507  1289 1991-08-10",7
1289,1991-08-10,"       FID       date
517   1247 1991-08-08
1150  1206 1991-08-08
1325  1247 1991-08-10
2681  1206 1991-08-10
5809  1331 1991-08-08
6914  1163 1991-08-08
8332  1248 1991-08-08",7
1289,1992-06-22,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
6370   1444 1992-06-22
10138  1290 1992-06-22",13
1368,1992-06-22,"        FID       date
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
6370   1444 1992-06-22
10032  1289 1992-06-22
10138  1290 1992-06-22",12
1444,1992-06-22,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1660   1369 1992-06-22
4382   1289 1992-06-24
4467   1369 1992-06-24
10032  1289 1992-06-22",8
1369,1992-06-22,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
6370   1444 1992-06-22
10032  1289 1992-06-22
10138  1290 1992-06-22",12
1407,1992-06-22,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
5999   1247 1992-06-24
6370   1444 1992-06-22
10032  1289 1992-06-22
10138  1290 1992-06-22",11
1331,1992-06-22,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1660   1369 1992-06-22
4382   1289 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
10032  1289 1992-06-22
10138  1290 1992-06-22",12
1290,1992-06-22,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
10032  1289 1992-06-22",13
1289,1992-06-24,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
6370   1444 1992-06-22
9475   1407 1992-06-26
10138  1290 1992-06-22",14
1247,1992-06-24,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
6000   1206 1992-06-24
9475   1407 1992-06-26
10032  1289 1992-06-22
10138  1290 1992-06-22",14
1407,1992-06-24,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
5999   1247 1992-06-24
6370   1444 1992-06-22
10032  1289 1992-06-22
10138  1290 1992-06-22",11
1206,1992-06-24,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
5999   1247 1992-06-24
10032  1289 1992-06-22
10138  1290 1992-06-22",11
1163,1992-06-24,"        FID       date
1654   1331 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
10032  1289 1992-06-22
10138  1290 1992-06-22",7
1368,1992-06-24,"        FID       date
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
1660   1369 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
4467   1369 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
6370   1444 1992-06-22
9475   1407 1992-06-26
10032  1289 1992-06-22
10138  1290 1992-06-22",13
1369,1992-06-24,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1654   1331 1992-06-22
2563   1331 1992-06-24
4382   1289 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
6370   1444 1992-06-22
9475   1407 1992-06-26
10032  1289 1992-06-22
10138  1290 1992-06-22",13
1331,1992-06-24,"        FID       date
468    1368 1992-06-22
567    1368 1992-06-24
582    1407 1992-06-22
715    1407 1992-06-24
1660   1369 1992-06-22
4382   1289 1992-06-24
4467   1369 1992-06-24
4470   1163 1992-06-24
5999   1247 1992-06-24
6000   1206 1992-06-24
9475   1407 1992-06-26
10032  1289 1992-06-22
10138  1290 1992-06-22",13
1407,1992-06-26,"       FID       date
567   1368 1992-06-24
2563  1331 1992-06-24
4382  1289 1992-06-24
4467  1369 1992-06-24
5999  1247 1992-06-24",5
3809,1992-07-04,"       FID       date
2908  3883 1992-07-04
4468  3804 1992-07-06
4469  3803 1992-07-06
8983  3806 1992-07-06
8984  3805 1992-07-06
9845  3731 1992-07-06
9847  3732 1992-07-06",7
3883,1992-07-04,"        FID       date
2502   3876 1992-07-06
4468   3804 1992-07-06
4469   3803 1992-07-06
8983   3806 1992-07-06
8984   3805 1992-07-06
9726   3809 1992-07-04
9845   3731 1992-07-06
9847   3732 1992-07-06
11305  3878 1992-07-06
11306  3877 1992-07-06",10
3946,1992-07-06,"       FID       date
3220  3945 1992-07-06
3287  3950 1992-07-04
4681  4017 1992-07-04
4682  4018 1992-07-04
7626  3951 1992-07-04",5
3945,1992-07-06,"       FID       date
3287  3950 1992-07-04
4227  3946 1992-07-06
4681  4017 1992-07-04
4682  4018 1992-07-04
7626  3951 1992-07-04",5
2943,1993-10-16,"        FID       date
1083   2873 1993-10-16
1084   2874 1993-10-16
1597   2942 1993-10-16
1705   2942 1993-10-18
5119   3008 1993-10-16
5405   2872 1993-10-18
8351   2872 1993-10-16
11355  2941 1993-10-18",8
3008,1993-10-16,"        FID       date
1083   2873 1993-10-16
1084   2874 1993-10-16
1597   2942 1993-10-16
1705   2942 1993-10-18
5218   2943 1993-10-16
5405   2872 1993-10-18
8351   2872 1993-10-16
11355  2941 1993-10-18",8
2873,1993-10-16,"        FID       date
1084   2874 1993-10-16
1597   2942 1993-10-16
1705   2942 1993-10-18
5119   3008 1993-10-16
5218   2943 1993-10-16
5405   2872 1993-10-18
8351   2872 1993-10-16
11355  2941 1993-10-18",8
2874,1993-10-16,"        FID       date
1083   2873 1993-10-16
1597   2942 1993-10-16
1705   2942 1993-10-18
5119   3008 1993-10-16
5218   2943 1993-10-16
5405   2872 1993-10-18
8351   2872 1993-10-16
11355  2941 1993-10-18",8
2941,1993-10-18,"       FID       date
1083  2873 1993-10-16
1084  2874 1993-10-16
1597  2942 1993-10-16
1705  2942 1993-10-18
5119  3008 1993-10-16
5218  2943 1993-10-16
5405  2872 1993-10-18
8351  2872 1993-10-16",8
2942,1993-10-18,"        FID       date
1083   2873 1993-10-16
1084   2874 1993-10-16
5119   3008 1993-10-16
5218   2943 1993-10-16
5405   2872 1993-10-18
8351   2872 1993-10-16
11355  2941 1993-10-18",7
2872,1993-10-18,"        FID       date
1083   2873 1993-10-16
1084   2874 1993-10-16
1597   2942 1993-10-16
1705   2942 1993-10-18
5119   3008 1993-10-16
5218   2943 1993-10-16
11355  2941 1993-10-18",7
2885,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5613   3023 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",15
2689,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",14
2688,1994-06-13,"        FID       date
3981   2812 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",14
2812,1994-06-13,"        FID       date
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5613   3023 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",15
2746,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",13
2955,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5613   3023 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",15
2954,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",13
2747,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5613   3023 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
11211  2886 1994-06-13",15
3023,1994-06-13,"        FID       date
3981   2812 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",10
2886,1994-06-13,"       FID       date
3981  2812 1994-06-13
4516  2688 1994-06-13
4517  2689 1994-06-13
4588  2746 1994-06-13
4630  2887 1994-06-15
5441  2955 1994-06-13
5613  3023 1994-06-13
5750  2813 1994-06-15
6785  2814 1994-06-15
6786  2815 1994-06-15
6943  2885 1994-06-13
7617  2686 1994-06-15
7752  2954 1994-06-13
8122  2813 1994-06-13
8362  2747 1994-06-13",15
2813,1994-06-13,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
5441   2955 1994-06-13
5613   3023 1994-06-13
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8362   2747 1994-06-13
11211  2886 1994-06-13",14
2689,1994-06-14,"        FID       date
3840   2887 1994-06-16
5751   2813 1994-06-14
9140   2747 1994-06-14
9192   2512 1994-06-16
9312   2688 1994-06-14
10854  2956 1994-06-16
10855  2957 1994-06-16",7
2747,1994-06-14,"        FID       date
3840   2887 1994-06-16
5751   2813 1994-06-14
9192   2512 1994-06-16
9311   2689 1994-06-14
9312   2688 1994-06-14
10854  2956 1994-06-16
10855  2957 1994-06-16",7
2688,1994-06-14,"        FID       date
3840   2887 1994-06-16
5751   2813 1994-06-14
9140   2747 1994-06-14
9192   2512 1994-06-16
9311   2689 1994-06-14
10854  2956 1994-06-16
10855  2957 1994-06-16",7
2813,1994-06-14,"        FID       date
3840   2887 1994-06-16
9140   2747 1994-06-14
9311   2689 1994-06-14
9312   2688 1994-06-14
10854  2956 1994-06-16
10855  2957 1994-06-16",6
2686,1994-06-15,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
4854   2884 1994-06-17
5441   2955 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
8991   2811 1994-06-17
11211  2886 1994-06-13",16
2814,1994-06-15,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
4854   2884 1994-06-17
5441   2955 1994-06-13
5613   3023 1994-06-13
5750   2813 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
8991   2811 1994-06-17
11211  2886 1994-06-13",17
2813,1994-06-15,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4630   2887 1994-06-15
4854   2884 1994-06-17
5441   2955 1994-06-13
5613   3023 1994-06-13
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8362   2747 1994-06-13
8991   2811 1994-06-17
11211  2886 1994-06-13",16
2887,1994-06-15,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4588   2746 1994-06-13
4854   2884 1994-06-17
5441   2955 1994-06-13
5613   3023 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6786   2815 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
7752   2954 1994-06-13
8122   2813 1994-06-13
8362   2747 1994-06-13
8991   2811 1994-06-17
11211  2886 1994-06-13",17
2815,1994-06-15,"        FID       date
3981   2812 1994-06-13
4516   2688 1994-06-13
4517   2689 1994-06-13
4630   2887 1994-06-15
4854   2884 1994-06-17
5441   2955 1994-06-13
5613   3023 1994-06-13
5750   2813 1994-06-15
6785   2814 1994-06-15
6943   2885 1994-06-13
7617   2686 1994-06-15
8122   2813 1994-06-13
8362   2747 1994-06-13
8991   2811 1994-06-17
11211  2886 1994-06-13",15
2887,1994-06-16,"        FID       date
5751   2813 1994-06-14
9140   2747 1994-06-14
9311   2689 1994-06-14
9312   2688 1994-06-14
10854  2956 1994-06-16
10855  2957 1994-06-16",6
2957,1994-06-16,"        FID       date
3840   2887 1994-06-16
5751   2813 1994-06-14
9140   2747 1994-06-14
9311   2689 1994-06-14
9312   2688 1994-06-14
10854  2956 1994-06-16",6
2956,1994-06-16,"        FID       date
3840   2887 1994-06-16
5751   2813 1994-06-14
9140   2747 1994-06-14
9311   2689 1994-06-14
9312   2688 1994-06-14
10855  2957 1994-06-16",6
2884,1994-06-17,"       FID       date
4630  2887 1994-06-15
5750  2813 1994-06-15
6785  2814 1994-06-15
6786  2815 1994-06-15
7617  2686 1994-06-15
8991  2811 1994-06-17",6
2811,1994-06-17,"       FID       date
4630  2887 1994-06-15
4854  2884 1994-06-17
5750  2813 1994-06-15
6785  2814 1994-06-15
6786  2815 1994-06-15
7617  2686 1994-06-15",6
1330,1994-06-30,"        FID       date
82     1368 1994-06-30
114    1331 1994-06-30
139    1289 1994-06-30
503    1407 1994-06-30
518    1369 1994-06-30
670    1290 1994-06-30
2947   1248 1994-06-30
5306   1332 1994-06-30
5894   1407 1994-07-02
7813   1368 1994-07-02
9160   1247 1994-06-30
10570  1482 1994-07-02",12
1369,1994-06-30,"        FID       date
82     1368 1994-06-30
114    1331 1994-06-30
139    1289 1994-06-30
503    1407 1994-06-30
670    1290 1994-06-30
688    1330 1994-06-30
2947   1248 1994-06-30
5306   1332 1994-06-30
5894   1407 1994-07-02
7813   1368 1994-07-02
9160   1247 1994-06-30
10570  1482 1994-07-02",12
1482,1994-07-02,"       FID       date
82    1368 1994-06-30
503   1407 1994-06-30
518   1369 1994-06-30
688   1330 1994-06-30
5894  1407 1994-07-02
7813  1368 1994-07-02",6
1407,1994-07-02,"        FID       date
82     1368 1994-06-30
114    1331 1994-06-30
139    1289 1994-06-30
518    1369 1994-06-30
670    1290 1994-06-30
688    1330 1994-06-30
2947   1248 1994-06-30
5306   1332 1994-06-30
7813   1368 1994-07-02
9160   1247 1994-06-30
10570  1482 1994-07-02",11
1368,1994-07-02,"        FID       date
114    1331 1994-06-30
139    1289 1994-06-30
503    1407 1994-06-30
518    1369 1994-06-30
670    1290 1994-06-30
688    1330 1994-06-30
2947   1248 1994-06-30
5894   1407 1994-07-02
9160   1247 1994-06-30
10570  1482 1994-07-02",10
4206,1994-07-11,"        FID       date
492    4339 1994-07-13
493    4340 1994-07-13
1102   4342 1994-07-13
1103   4341 1994-07-13
1255   4338 1994-07-13
3878   4393 1994-07-13
3913   3986 1994-07-13
3914   3985 1994-07-13
3915   3984 1994-07-13
4206   3918 1994-07-13
5557   4141 1994-07-11
6461   4205 1994-07-11
7877   4343 1994-07-13
10554  3917 1994-07-13
10555  3916 1994-07-13
10556  3915 1994-07-13
11297  3987 1994-07-13",17
4141,1994-07-11,"        FID       date
492    4339 1994-07-13
493    4340 1994-07-13
1102   4342 1994-07-13
1103   4341 1994-07-13
1255   4338 1994-07-13
3878   4393 1994-07-13
3913   3986 1994-07-13
3914   3985 1994-07-13
4204   3919 1994-07-13
4206   3918 1994-07-13
6460   4206 1994-07-11
6461   4205 1994-07-11
7877   4343 1994-07-13
10554  3917 1994-07-13
10555  3916 1994-07-13
10556  3915 1994-07-13
11297  3987 1994-07-13",17
4261,1994-07-11,"        FID       date
878    4391 1994-07-13
1094   4118 1994-07-13
1095   4117 1994-07-13
1600   4390 1994-07-13
2818   4051 1994-07-13
3409   4120 1994-07-13
3411   4119 1994-07-13
4401   4052 1994-07-13
4447   4262 1994-07-11
8288   4121 1994-07-13
8289   4122 1994-07-13
11255  4123 1994-07-13",12
4205,1994-07-11,"        FID       date
492    4339 1994-07-13
493    4340 1994-07-13
1102   4342 1994-07-13
1103   4341 1994-07-13
1255   4338 1994-07-13
3878   4393 1994-07-13
3913   3986 1994-07-13
3914   3985 1994-07-13
3915   3984 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
10554  3917 1994-07-13
10555  3916 1994-07-13
10556  3915 1994-07-13
11297  3987 1994-07-13",15
4262,1994-07-11,"        FID       date
878    4391 1994-07-13
1094   4118 1994-07-13
1095   4117 1994-07-13
1600   4390 1994-07-13
2818   4051 1994-07-13
3409   4120 1994-07-13
3411   4119 1994-07-13
4401   4052 1994-07-13
4446   4261 1994-07-11
8288   4121 1994-07-13
8289   4122 1994-07-13
11255  4123 1994-07-13",12
4393,1994-07-13,"       FID       date
492   4339 1994-07-13
493   4340 1994-07-13
1102  4342 1994-07-13
1103  4341 1994-07-13
1255  4338 1994-07-13
5557  4141 1994-07-11
6460  4206 1994-07-11
6461  4205 1994-07-11",8
3917,1994-07-13,"        FID       date
4204   3919 1994-07-13
4205   3920 1994-07-13
4206   3918 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
6461   4205 1994-07-11
9872   3844 1994-07-13
10555  3916 1994-07-13
10556  3915 1994-07-13",9
4338,1994-07-13,"       FID       date
492   4339 1994-07-13
493   4340 1994-07-13
1102  4342 1994-07-13
1103  4341 1994-07-13
3878  4393 1994-07-13
5557  4141 1994-07-11
6460  4206 1994-07-11
6461  4205 1994-07-11
7877  4343 1994-07-13",9
4339,1994-07-13,"       FID       date
493   4340 1994-07-13
1102  4342 1994-07-13
1103  4341 1994-07-13
1255  4338 1994-07-13
3878  4393 1994-07-13
5557  4141 1994-07-11
6460  4206 1994-07-11
6461  4205 1994-07-11
7877  4343 1994-07-13",9
3916,1994-07-13,"        FID       date
4204   3919 1994-07-13
4205   3920 1994-07-13
4206   3918 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
6461   4205 1994-07-11
9872   3844 1994-07-13
10554  3917 1994-07-13
10556  3915 1994-07-13",9
3985,1994-07-13,"        FID       date
3913   3986 1994-07-13
3915   3984 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
6461   4205 1994-07-11
11297  3987 1994-07-13",6
3915,1994-07-13,"        FID       date
4204   3919 1994-07-13
4205   3920 1994-07-13
4206   3918 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
6461   4205 1994-07-11
10554  3917 1994-07-13
10555  3916 1994-07-13
11297  3987 1994-07-13",9
3986,1994-07-13,"        FID       date
3914   3985 1994-07-13
3915   3984 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
6461   4205 1994-07-11
11297  3987 1994-07-13",6
3987,1994-07-13,"        FID       date
3913   3986 1994-07-13
3914   3985 1994-07-13
3915   3984 1994-07-13
5557   4141 1994-07-11
6460   4206 1994-07-11
6461   4205 1994-07-11
10556  3915 1994-07-13",7
4340,1994-07-13,"       FID       date
492   4339 1994-07-13
1102  4342 1994-07-13
1103  4341 1994-07-13
1255  4338 1994-07-13
3878  4393 1994-07-13
5557  4141 1994-07-11
6460  4206 1994-07-11
6461  4205 1994-07-11
7877  4343 1994-07-13",9
4341,1994-07-13,"       FID       date
492   4339 1994-07-13
493   4340 1994-07-13
1102  4342 1994-07-13
1255  4338 1994-07-13
3878  4393 1994-07-13
5557  4141 1994-07-11
6460  4206 1994-07-11
6461  4205 1994-07-11
7877  4343 1994-07-13",9
4342,1994-07-13,"       FID       date
492   4339 1994-07-13
493   4340 1994-07-13
1103  4341 1994-07-13
1255  4338 1994-07-13
3878  4393 1994-07-13
5557  4141 1994-07-11
6460  4206 1994-07-11
6461  4205 1994-07-11
7877  4343 1994-07-13",9
